window,total_cases,same_sign_cases,same_sign_percent,ratio_lt_sqrt2_given_same_sign_cases,ratio_lt_sqrt2_given_same_sign_percent,product_total_percent
2,172159862,159647370,92.7320504009233,108001835,67.65024378416005,62.73345816227478
5,172086488,125208082,72.75881067431628,31354754,25.04211669019896,18.220346271463217
10,171964198,80201655,46.63857706009247,4449952,5.548454081153313,2.5877200322825336
15,171841908,53874882,31.351422145522267,952282,1.7675806695966405,0.5541616774878919
20,171719618,39662929,23.09749431191956,275736,0.6951982794815784,0.16057338305982022
25,171597328,30761071,17.926311183586726,98844,0.3213282138323467,0.057602295532247445
30,171475038,24660297,14.381275133468698,41934,0.17004661379382413,0.024454871384836784
