metric,w=2,w=5,w=10,w=15,w=20,w=25,w=30
% ventanas/coordenadas con signo constante,92.7320504009233,72.75881067431628,46.63857706009247,31.351422145522267,23.09749431191956,17.926311183586726,14.381275133468698
% con max(|g|)/min(|g|) < sqrt(2) entre las de signo constante,67.65024378416005,25.04211669019896,5.548454081153313,1.7675806695966405,0.6951982794815784,0.3213282138323467,0.17004661379382413
% total que cumple ambas condiciones,62.73345816227478,18.220346271463217,2.5877200322825336,0.5541616774878919,0.16057338305982022,0.057602295532247445,0.024454871384836784
